text,labels
「ほんとに何から何まで再現してくれてるなぁ〜すごいすごい」,"[0,0]"
懲戒免職喰らって生活厳しくなっても、その市民の個人情報売ってメシ食おうなんて考えるなよ? #バカ / “釜石市元女性係長「情報をネタに喋るつもりだった」←あんたの「道楽」のために個人情報があるわけじゃ - 人生、成り行き”,"[0,0]"
厳しい規制やワクチン強制したような国は反発も大きいだろうな、その点日本政府は推奨やお願いでうまくやったよな,"[0,0]"
私も先日体調が悪かった時病院に問い合わせしたが、「高熱が3日以上続いたらきてください。PCRやりたかったら自費」と言われた。####検査して、現実見たく無いんだろうね。##わかるよその気持ち。私も体重計乗りたく無いもの。,"[0,0]"
ｳｪｲｲﾝって礼儀知らずみたいな印象抱かれてることあるけど六芸を修めてたってことはやる気さえ出せば礼儀正しいのかな…確かにあれだけ喋るのに目上の人と話す時も言葉遣いはしっかりしてるし口論する時以外はしっかりしてるイメージある,"[0,0]"
ほう…麺抜きのラーメンですか？##たいしたものですね__####__,"[0,0]"
さっぱりした。,"[0,0]"
追手が現れたときのlkeさんのthat's lovelyこれかっこいい,"[0,0]"
お、今日もウマ娘春のヤル気ダウンキャンペーンじゃん##ウオッカ半年で4回ヤル気ダウンはイカれてんよ〜,"[0,0]"
超合金鰹節ってガッツリ減速して急なコーナーを曲がったら自動でスピンターンを手伝ってくれるんだね,"[0,0]"
アー写切り取ってアイコン配布してる人が無断転載ダメです！って言ってるのもよく見るけどめちゃめちゃ面白い,"[0,0]"
それじゃみなさんお体に気をつけて,"[0,0]"
２,"[0,0]"
MIAウィンだね。##ジミーがすごい！！##審判すごい！！！##って試合でした。####この試合の後で大変だけどGame7頑張ってね。,"[0,0]"
“アート性”ではなく“コミュニティ性”や“共感性”での売買、もっと言えばプロジェクトファイナンスに近くなっている中で。##ただ、昨日オープンした「UN/BUILT」を体験して、やはりコレをやるべきだ、やって良かったと強く感じた。,"[0,0]"
パトカーに挨拶するワンコ君　微笑ましいね__,"[0,0]"
強化成功率ダウン考えた奴、一流のクソゲークリエイターでしょ##FGOにおいてあれを上回る嫌がらせはそうない,"[0,0]"
素敵なレディねぇ #shokei_anime,"[0,0]"
震源地にふさわしいシンボル,"[0,0]"
焼いてくれてありがとうな#####Sky実録,"[0,0]"
めちゃくちゃ久々に仕事がない夜なので酒飲んで倒れてる。贅沢な時間の過ごし方。,"[0,0]"
PCっていいね,"[0,0]"
むしろ存在しちゃいけないよねぇ〜？,"[0,0]"
訳)池田大作万歳,"[0,0]"
何人にもどんな事でも賞賛を返す。##面白そうだから敵対するし倒しても何もならない。既存の脅威に少しだけエッセンスを加える程度。##真の姿があるが誰も見たことがない。##掴みどころのない素性や凄みの中でポンコツな面も目立つが、これは演技ではなく素。,"[0,0]"
リア友がグルチャで口喧嘩に近いじゃれ合いしてんだけど、##「うっせぇな、個別のやり取りでやれ、バカがよ」##って送ったら、既読付いたまま誰も発言しなくなったので色々終わったな__と思っています。####実際僕は口が悪いためこうなるんですけどね、許せ。,"[0,0]"
北の方に寄ったな,"[0,0]"
へぇーそうなんやすげぇーなお前,"[0,0]"
彼女おらんのに彼女おる？ってきけるメンタル欲しい,"[0,0]"
あーさっぱりした,"[0,0]"
青年「ほらー、かわいい子には旅をさせよ、ってやつっすよ！」##おっさん「この場合どっちが『かわいい』だと思ってる？」##幼女,"[0,0]"
イラストで使える対比テクニックの一例：##可愛い言われまくったララフェルのひょっとこフェラ##ララフェル鼻フック##シンプルで洗練されたボディに対するセクシーポーズ##ララフェルの腋毛と陰毛　黒ずんだアナル,"[0,0]"
いい天気だね,"[0,0]"
需要と供給の話なので、むしろ企業としては当たり前に嬉しい話な訳で。##ユーザー様の貴重なご意見,"[0,0]"
"「」みたいな表現の初出ってどこだろうなーって思ってたけど、芥川龍之介の『藪の中』で""あなた方が悪いか、わたしが悪いか、どちらが悪いかわかりません★""とか使ってたので初出はこれの気がする hako584！！！","[0,0]"
ジョークが面白いとこも大好きだよキングスマンシリーズ,"[0,0]"
