text,labels
__「俺はうさ耳付けるだけで十分でしょ？」##__「あなたは何もつけなくても十分でしょう」##リー指ﾁｬ……,"[1,1]"
バイナリーオプションを投資だから難しそうという人。上か下か2択で答えるのが難しいという人なら難しいだろうね。,"[1,1]"
元総理、元首相ってのの発言は国益に沿ったものであることが望ましい。##日本はオツムがあさっての人でもトップになれ、反日発言しても簡単に射殺されない、って意味で自由な、いい国なのかも,"[1,1]"
原発は短期稼働は致し方ないと思うんだけど、放射性廃棄物を埋める目処は付いたんだろうか？##それから、廃炉って1年2年じゃ出来ないんだよね。2〜30年は掛かる。コストも膨大。##まぁ〜、自分達が逃げ切ればOKって考えれば、原発は最高なのかもしれないですね,"[1,1]"
まやこっこ先生の配信遅れて見たけど、凄いチンチロリンを考える人おるんやねえ……わしにもああいう発想できる脳みそ欲しい,"[1,1]"
わかんないって便利だね,"[1,1]"
Twitter使ってて良かったことは山ほどあるけどインスタ使ってて良かったことは他人のキラキラ生活が見れることくらいですね...,"[1,1]"
山田くんのブログをうけて無断転載のアイコンでお気持ち表明してる人面白いね,"[1,1]"
__:ばぶちゃん何飲んでるの##___:グレープフルーツソジュとプラムソジュ｡13度##__:いいじゃん##__:たくさん飲めるんだから最高だろ##___:前回ソジュ飲んだ時は4時間意識飛んだ##__:ソジュは前哨戦みたいなもんでしょ##__:ソジュは確かにめっちゃ弱いなw##___:ありがとうそう言ってくれて｡マジ感謝,"[1,1]"
パワハラに耐えて飲むワインは格別だなあ！！,"[1,1]"
働き過ぎたらダメ、連続運転し過ぎたらダメ、早く着き過ぎたらダメ、遅れたらダメ、運賃上げたらダメ、運賃上げなきゃダメ。##ちょっと考えただけでもダメダメが多すぎるやろ、運送業界。##がんじがらめウェーイ。##帰るぜウェーイ。,"[1,1]"
梅林、谷川、望月は期待通りの活躍##上記三名と杉谷は鎌ヶ谷へGO！！,"[1,1]"
ああ〜いいっすね〜##あーさっぱりした##あーもう1回言ってくれ##あーもうめちゃくちゃだよ##頭に来ますよ〜,"[1,1]"
