text,labels
"この時LIVE中継されたスペイン側サポーターの表情の希少価値は計り知れん(笑)。結果は4-2のドイツ勝利で、スペインのベスト16進出が決まったが。
日本勝利","[0,0]"
育てる気なかったやつが、チケット１枚で現れていつのまにか４凸してる,"[0,0]"
なんか勝ったわ,"[0,0]"
サッカーのために休みを取ったが、すごく貴重すぎる1日になったな😇❤️店着いたら欲しかったロンTが完売でショック過ぎたのに、選んでる間に丁度再入荷して買えた,"[0,0]"
ブラボーのラがラだ,"[0,0]"
バス乗って隣見たら杏奈ちゃん,"[0,0]"
"に加えて、三笘、田中、板倉、権田が同じ""さぎぬまSC""","[0,0]"
"えー！そうなんですか！？
","[0,0]"
鈍行3時間半は痺れましたがもうすぐ宇都宮着！(でも乗り換えは1回,"[0,0]"
TETORA CLUB PHASEは案の定ご用意されなかったけど、Zepp Hanedaが最速先行でご用意される,"[0,0]"
ブラジルが逆山に行く,"[0,0]"
"ナオンさん♪こんにちは〜☀️
もうスペインに勝てた","[0,0]"
たまたま後ろからゴープロつけた人が走ってた,"[0,0]"
おおお！何,"[0,0]"
"ななちゃんﾀﾞｲ(♡&gt;ω&lt;)ｽｷ💗❤
クリスマスにも会えて年末にもあえる","[0,0]"
あのだだっ広い免許センターで、高校からの友人と遭遇する,"[0,0]"
"持ってるNFT全部売ってもcnpが買えません😭
ここでgiveawayで入手","[0,0]"
私もぶんぶん首をふりまして激しく同意しております！秀樹はまさしく僕こそミュージック！という感じであらゆる音楽を秀樹を全面に押し出すことなくそれでいて秀樹の魅力を炸裂させその歌の世界を体現させるアーティストだと思います。加えてルックス、お顔とスタイルが素晴らしい,"[0,0]"
BE:FIRSTリセール落選だったぁ。両方とも休み,"[0,0]"
"子供の頃の強烈な体験。

あれだな、トランポリン飛んでてそのままガチで飛んで行って階段の角に顎打ってひと針縫う","[0,0]"
うちにはセクベアいつ来るんだろうか。帰宅したら来てる,"[0,0]"
プペルミュージカル大阪公演本番までの流れがピンチ&amp;ピンチからの逆転に継ぐ逆転,"[0,0]"
日本がW杯グループリーグでドイツとスペインに勝って突破する,"[0,0]"
